,LinReg(Time),Poly(Time),Ridge(Time),lasso(Time)
352,0.015630483627319336,,0.0,0.0
353,0.0,,0.013538122177124023,0.002530813217163086
354,0.0,,0.0,0.0
355,0.0,,0.01566147804260254,0.0
356,0.0,,0.0,0.0
357,0.015609264373779297,,0.0,0.0
358,0.0,,0.0,0.015625476837158203
359,0.0,,0.0,0.0
360,0.0,,0.0156552791595459,0.0
361,0.0,,0.0,0.0
362,0.0,,0.0,0.0
363,0.0,,0.0,0.0
364,0.015629291534423828,,0.0035402774810791016,0.0
365,0.0,,0.0,0.012536764144897461
366,0.0,,0.0,0.0
367,0.0,,0.015641212463378906,0.0
368,0.0,,0.0,0.0
369,0.01562666893005371,,0.0,0.0
370,0.0,,0.0,0.01562786102294922
371,0.0,,0.0,0.0
372,0.0,,0.0,0.0
373,0.0,,0.0,0.015633344650268555
374,0.0,,0.0,0.009539604187011719
375,0.0,,0.0,0.006539583206176758
376,0.0,,0.0,0.0
377,0.0,,0.01566147804260254,0.0
378,0.0,,0.0,0.0
379,0.015630245208740234,,0.0,0.0
380,0.0,,0.0,0.015617847442626953
381,0.0,,0.0,0.0
382,0.0,,0.015640735626220703,0.0
383,0.0,,0.0,0.0
384,0.015609264373779297,,0.0,0.0
385,0.0,,0.0,0.015515565872192383
386,0.0,,0.0,0.0
387,0.0,,0.015636920928955078,0.0
388,0.0,,0.0,0.0
389,0.015654563903808594,,0.0,0.0
390,0.0,,0.0,0.0
391,0.015629291534423828,,0.0,0.0
392,0.0,,0.0,0.015628814697265625
393,0.0,,0.0,0.0
394,0.0,,0.015630722045898438,0.0
395,0.0,,0.015609502792358398,0.0
396,0.006517171859741211,,0.0,0.0
397,0.009513616561889648,,0.0,0.0
398,0.0,,0.0,0.015633821487426758
399,0.0,,0.0,0.0
400,0.0,,0.015630006790161133,0.0
401,0.0,,0.0,0.015628576278686523
402,0.0,,0.0,0.0
403,0.0,,0.015630483627319336,0.0
404,0.0,,0.0,0.015630245208740234
405,0.0,,0.0,0.01251530647277832
406,0.0035104751586914062,,0.0,0.0
407,0.0,,0.0,0.0
408,0.01563262939453125,,0.0,0.0
409,0.0,,0.0,0.01562976837158203
410,0.0,,0.0,0.0
411,0.0,,0.015635013580322266,0.0
412,0.0,,0.0,0.0
413,0.015628814697265625,,0.0,0.0
414,0.0,,0.0,0.01564955711364746
415,0.0,,0.0,0.0
416,0.0,,0.0,0.018657922744750977
417,0.0,,0.0,0.0
418,0.0,,0.013041257858276367,0.0
419,0.0,,0.0,0.0
420,0.015662193298339844,,0.0,0.0
421,0.0,,0.0,0.015604972839355469
422,0.0,,0.0,0.0
423,0.0,,0.015630245208740234,0.0
424,0.0,,0.0,0.0
425,0.015639305114746094,,0.0,0.0
426,0.0,,0.0,0.015642881393432617
427,0.0,,0.0,0.009038686752319336
428,0.0,,0.0070378780364990234,0.0
429,0.0,,0.0,0.0
430,0.015662431716918945,,0.0,0.0
431,0.0,,0.0,0.0
432,0.015628814697265625,,0.0,0.0
433,0.01562976837158203,,0.0,0.0
434,0.0,,0.0,0.01562952995300293
435,0.0,,0.0,0.0
436,0.0,,0.015630006790161133,0.0
437,0.0,,0.0,0.0
438,0.015042304992675781,,0.0010254383087158203,0.0
439,0.0,,0.0,0.015634775161743164
440,0.0,,0.0,0.0
441,0.015628337860107422,,0.0,0.0
442,0.0,,0.0,0.015630722045898438
443,0.0,,0.0,0.0
444,0.015634775161743164,,0.0,0.0
445,0.0,,0.0,0.015650272369384766
446,0.0,,0.0,0.0
447,0.0,,0.015628814697265625,0.0
448,0.005036354064941406,,0.0,0.0
449,0.0,,0.011040687561035156,0.0
450,0.0,,0.0,0.0
451,0.015662193298339844,,0.0,0.0
452,0.0,,0.0,0.01562952995300293
453,0.0,,0.0,0.0
454,0.0,,0.015609264373779297,0.0
455,0.0,,0.0,0.0
456,0.015627384185791016,,0.0,0.0
457,0.0,,0.0,0.01562786102294922
458,0.0,,0.0,0.011018514633178711
459,0.0,,0.005015373229980469,0.0
460,0.0,,0.0,0.0
461,0.0156400203704834,,0.0,0.0
462,0.0,,0.0,0.015627622604370117
463,0.0,,0.0,0.0
464,0.015628814697265625,,0.0,0.0
465,0.0,,0.0,0.015630245208740234
466,0.0,,0.0,0.0
467,0.0,,0.015632152557373047,0.0
468,0.0,,0.0,0.0
469,0.015630722045898438,,0.0015125274658203125,0.0
470,0.0,,0.0,0.0
471,0.0145111083984375,,0.0,0.0
472,0.0,,0.0,0.01563882827758789
473,0.0,,0.0,0.0
474,0.0,,0.01563262939453125,0.0
475,0.0,,0.0,0.0
476,0.01562666893005371,,0.0,0.0
477,0.0,,0.01563239097595215,0.0
478,0.0,,0.015644550323486328,0.007543325424194336
479,0.0,,0.0,0.008543252944946289
480,0.0,,0.0,0.0
481,0.0,,0.0156402587890625,0.0
482,0.0,,0.0,0.015651702880859375
483,0.0,,0.0,0.0
484,0.0,,0.015609025955200195,0.0
485,0.0,,0.0,0.0
486,0.015623807907104492,,0.0,0.0
487,0.0,,0.015635013580322266,0.0
488,0.0,,0.0,0.0
489,0.016034841537475586,,0.0,0.0
490,0.0,,0.0,0.0
491,0.015639305114746094,,0.0,0.0
492,0.0,,0.01562666893005371,0.0
493,0.0,,0.0,0.01565384864807129
494,0.0,,0.0,0.0
495,0.0,,0.015628337860107422,0.0
496,0.0,,0.0,0.0
497,0.015629053115844727,,0.0,0.0
498,0.0,,0.0,0.015604972839355469
499,0.004010677337646484,,0.0,0.0
500,0.0,,0.012012720108032227,0.0
501,0.0,,0.0,0.0
502,0.015636682510375977,,0.0,0.0
503,0.0,,0.0,0.015630006790161133
504,0.0,,0.0,0.0
505,0.0,,0.015630006790161133,0.0
