,LinReg(Time),Ridge(Time),lasso(Time)
81,0.01566338539123535,0.0,0.0
82,0.0,0.0,0.015601396560668945
83,0.0,0.0,0.0
84,0.0,0.01563262939453125,0.0
85,0.0,0.0,0.0
86,0.015633344650268555,0.0,0.0
87,0.0,0.0,0.015651226043701172
88,0.0,0.0,0.0
89,0.0,0.015629291534423828,0.0
90,0.0065424442291259766,0.0,0.0
91,0.0,0.010566234588623047,0.0
92,0.0,0.0,0.0
93,0.01652693748474121,0.0,0.0
94,0.0,0.01450967788696289,0.0020236968994140625
95,0.0,0.0,0.01652836799621582
96,0.0,0.0,0.0
97,0.0,0.013538599014282227,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.010538101196289062,0.0,0.006501913070678711
101,0.00799870491027832,0.0,0.008025884628295898
102,0.0,0.007990837097167969,0.0
103,0.0,0.008011817932128906,0.0
104,0.007995367050170898,0.0,0.0
105,0.008010387420654297,0.0,0.0
106,0.00811767578125,0.0,0.0
107,0.0,0.0,0.015646934509277344
108,0.0,0.0,0.015630483627319336
109,0.006041049957275391,0.0,0.010042190551757812
110,0.0,0.0,0.0
111,0.0,0.015666723251342773,0.0
112,0.0,0.0,0.0
113,0.015607833862304688,0.0,0.0
114,0.0,0.0,0.015647172927856445
115,0.0,0.0,0.0
116,0.0,0.015633821487426758,0.0
117,0.008341073989868164,0.0,0.008004188537597656
118,0.008268594741821289,0.0,0.0077266693115234375
119,0.0,0.008234977722167969,0.0
120,0.0,0.007785797119140625,0.007985115051269531
121,0.0,0.0,0.008248329162597656
122,0.0,0.007771968841552734,0.0
123,0.0,0.008000373840332031,0.0
124,0.008084535598754883,0.0,0.0
125,0.0,0.0,0.0
126,0.016085386276245117,0.0,0.0
127,0.0,0.0,0.015429258346557617
128,0.0,0.0,0.0
129,0.0,0.003511667251586914,0.0
130,0.01604914665222168,0.0,0.0
131,0.0,0.0,0.01521921157836914
132,0.0,0.0,0.0
133,0.0,0.01562643051147461,0.0
134,0.0,0.0,0.0
135,0.015633344650268555,0.0,0.0
136,0.0,0.0,0.015630006790161133
137,0.0,0.0,0.0
